what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501043286029
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501043291617
executed,command,,,"AUTOGEN:::org.eclipse.core.runtime.xml.source.ruler.actions/org.eclipse.ui.texteditor.SelectRulerAction",1501043297798
executed,command,,,"AUTOGEN:::org.eclipse.core.runtime.xml.source.ruler.actions/org.eclipse.ui.texteditor.SelectRulerAction",1501043299627
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1501043309502
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1501043312241
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501043315574
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501043318810
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1501043323481
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1501043339867
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1501043340770
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1501043340953
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1501043341138
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1501043341274
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501043342002
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501043414627
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501043415153
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501043415909
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501043417611
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501043440966
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1501043444106
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501043446225
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1501043462818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501043462827
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.v20110928-1505,"org.eclipse.ui.views.properties.tabbed",1501043462882
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1501043463016
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1501043463026
opened,editor,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.core.dtdsource.source",1501043463048
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.ui",1501043463140
activated,editor,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.core.dtdsource.source",1501043463214
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1501043464892
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.showInformation",1501043487352
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501043487361
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501043493902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501043496617
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501043502071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501043507683
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501043524599
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1501043526088
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1501043552357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501043556006
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501043557602
activated,editor,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.core.dtdsource.source",1501043560601
