what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501045538854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501045541371
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1501045547411
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501045550513
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501045551767
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1501045592252
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501045595466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501045597270
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1501045614049
activated,editor,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.core.dtdsource.source",1501045615589
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1501045620579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501045622578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501045623772
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1501045625539
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501045627421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501045629287
activated,editor,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.core.dtdsource.source",1501045658749
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1501045660283
activated,editor,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.core.dtdsource.source",1501045719441
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1501045725034
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501045729905
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501045731149
activated,editor,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.core.dtdsource.source",1501045732212
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1501045734289
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501045737371
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501045738650
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501045756394
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501045819963
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1501045822022
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501045825869
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501045869408
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1501045876081
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1501045903919
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1501045904103
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1501045904303
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1501045910261
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1501045914084
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1501045919107
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1501045933739
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1501045944955
activated,editor,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.core.dtdsource.source",1501045946956
error,log,,,"",1501046002032
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1501046011611
activated,editor,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.core.dtdsource.source",1501046012774
activated,editor,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.core.dtdsource.source",1501046013982
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1501046014989
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1501046016388
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1501046016741
