what,kind,bundleId,bundleVersion,description,time
java.vm.version,sysinfo,,,"20.45-b01",1499835939154
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499836219946
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1499836219949
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1499836223694
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499836232732
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1499836237519
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1499836237595
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1499836237687
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1499836269352
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1499836269392
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499836269400
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.v20110928-1505,"org.eclipse.ui.views.properties.tabbed",1499836269462
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1499836269673
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1499836269780
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1499836269832
opened,editor,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.core.dtdsource.source",1499836269913
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.ui",1499836270014
activated,editor,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.core.dtdsource.source",1499836270055
started,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1499836271429
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499836277946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499836286585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499836290521
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499836389005
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1499836389036
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499836389940
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499836513240
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499836514013
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499836544358
activated,editor,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.core.dtdsource.source",1499836544388
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499836548010
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499836638938
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499836655560
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499837687910
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499837690810
started,bundle,org.eclipse.wst.jsdt.debug.core,2.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.core",1499837692449
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499837692532
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1499837692758
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1499837693115
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1499837693116
